,adjectives,century,nouns,poem_id,rhymes,rhyming_adjectives,rhyming_nouns,rhyming_verbs,verbs,words
0,24,xix,94,0,50,6,24,12,52,369
1,10,xix,30,1,16,1,9,2,8,116
2,9,xix,27,2,16,0,7,3,9,110
3,39,xix,151,3,114,6,47,36,97,625
4,9,xix,42,4,28,2,14,6,24,201
5,3,xix,13,5,12,1,8,2,12,70
6,8,xix,38,6,18,1,11,4,18,115
7,6,xix,21,7,8,1,6,0,6,57
8,16,xix,46,8,24,0,20,3,16,140
9,21,xix,80,9,48,10,26,6,38,304
10,62,xix,180,10,114,16,50,29,108,802
11,0,xix,11,11,6,0,2,2,7,37
12,13,xix,44,12,28,5,13,9,34,199
13,38,xix,118,13,54,9,31,10,32,365
14,15,xix,35,14,20,4,13,0,15,122
15,13,xix,62,15,36,2,18,10,32,242
16,5,xix,30,16,14,2,7,2,11,83
17,7,xix,22,17,16,1,10,1,7,82
18,28,xix,125,18,64,8,31,19,50,424
19,0,xix,9,19,10,0,0,0,3,54
20,10,xix,72,20,42,4,27,8,19,186
21,6,xix,30,21,16,3,11,2,13,102
22,11,xix,39,22,22,1,11,6,25,198
23,1,xix,13,23,8,0,7,1,2,41
24,16,xix,79,24,40,8,24,5,18,213
25,8,xix,59,25,26,2,18,3,17,190
26,7,xix,28,26,12,0,10,2,6,71
27,22,xix,74,27,32,5,19,8,20,191
28,8,xix,28,28,12,3,7,2,8,75
29,1,xix,23,29,8,0,1,6,10,73
30,12,xix,34,30,20,1,11,5,20,171
31,17,xix,57,31,36,4,19,10,35,255
32,6,xix,24,32,12,1,5,4,18,104
33,4,xix,17,33,12,1,8,0,5,68
34,9,xix,29,34,14,0,10,2,14,132
35,9,xix,30,35,18,0,10,5,17,126
36,16,xix,63,36,36,4,17,8,26,286
37,2,xix,23,37,20,0,6,11,14,89
38,4,xix,29,38,22,1,12,7,13,116
39,7,xix,21,39,16,1,7,4,12,82
40,10,xix,39,40,16,1,8,4,14,126
41,19,xix,35,41,24,3,15,3,8,129
42,6,xix,45,42,46,4,20,14,22,213
43,15,xix,54,43,38,5,11,13,24,232
44,14,xix,61,44,28,4,14,9,26,230
45,4,xix,30,45,16,0,12,2,4,83
46,7,xix,45,46,32,3,19,6,19,173
47,11,xix,48,47,28,2,17,5,16,187
48,4,xix,24,48,16,2,7,6,13,100
49,8,xix,18,49,12,1,4,6,16,117
50,3,xix,14,50,8,1,6,1,4,42
51,3,xix,16,51,14,0,4,5,16,101
52,7,xix,29,52,20,1,7,7,16,163
53,4,xix,13,53,6,1,4,0,6,49
54,4,xix,20,54,8,0,3,4,9,93
55,2,xix,19,55,12,3,5,4,12,76
56,3,xix,15,56,8,0,1,3,10,82
57,6,xix,35,57,14,2,6,4,13,136
58,11,xix,32,58,16,4,8,1,9,121
59,1,xix,12,59,4,0,3,1,2,35
60,11,xix,35,60,12,0,7,5,6,107
61,3,xix,18,61,10,1,4,3,12,70
62,10,xix,37,62,24,3,15,1,5,113
63,6,xix,29,63,24,3,11,3,11,112
64,4,xix,13,64,8,0,4,2,9,58
65,15,xix,63,65,50,0,27,17,37,286
66,4,xix,6,66,4,1,1,1,5,58
67,3,xix,11,67,8,2,2,2,7,72
68,10,xix,59,68,34,1,15,17,38,230
69,10,xix,26,69,12,1,9,1,6,86
70,2,xix,23,70,8,0,6,0,6,67
71,2,xix,13,71,8,0,5,2,3,50
72,4,xix,18,72,10,2,2,3,11,81
73,21,xix,59,73,26,2,16,5,12,162
74,5,xix,29,74,14,0,9,4,13,89
75,4,xix,13,75,10,0,5,2,10,83
76,346,xix,1447,76,1128,98,458,482,922,6145
77,6,xix,31,77,24,2,9,7,16,179
78,11,xix,25,78,14,0,9,2,7,89
79,7,xix,12,79,8,1,4,2,9,69
80,8,xix,21,80,8,3,5,0,5,95
81,1,xix,19,81,8,0,3,1,2,51
82,6,xix,30,82,30,3,9,10,25,169
83,10,xix,37,83,16,1,8,5,8,129
84,3,xix,18,84,8,1,3,3,8,95
85,16,xix,41,85,28,4,14,5,20,218
86,8,xix,38,86,28,1,13,9,22,179
87,5,xix,27,87,16,0,4,9,21,166
88,1,xix,16,88,6,0,1,4,7,66
89,16,xix,56,89,36,1,18,14,39,215
90,6,xix,40,90,20,2,12,2,13,135
91,6,xix,25,91,20,0,6,9,24,122
92,9,xix,34,92,18,2,6,3,20,147
93,0,xix,20,93,8,0,2,2,7,73
94,9,xix,57,94,40,4,23,8,15,184
95,11,xix,56,95,30,5,16,3,11,178
96,11,xix,38,96,20,3,10,6,22,157
97,29,xix,101,97,70,8,25,31,70,425
98,1,xix,15,98,8,1,3,3,8,51
99,5,xix,27,99,24,0,8,12,19,140
100,10,xix,36,100,20,2,7,11,20,140
101,8,xix,23,101,12,3,8,1,5,64
102,0,xix,23,102,14,0,7,6,14,75
103,3,xix,30,103,30,0,13,7,21,159
104,21,xix,67,104,72,7,36,24,43,270
105,83,xix,491,105,460,25,287,94,214,1771
106,65,xix,418,106,344,25,205,80,157,1323
107,41,xix,271,107,256,23,152,56,116,1059
108,35,xix,224,108,192,9,129,38,87,793
109,89,xix,551,109,532,36,268,166,300,2085
110,151,xix,848,110,770,57,433,187,360,3041
111,16,xix,160,111,128,12,73,38,61,507
112,4,xix,23,112,18,1,10,5,10,81
113,1,xix,18,113,12,1,9,1,3,51
114,1,xix,12,114,10,0,6,2,8,60
115,55,xix,423,115,350,25,218,76,184,1393
116,39,xix,205,116,184,19,105,36,82,745
117,0,xix,29,117,16,0,9,4,7,77
118,79,xix,533,118,468,33,283,102,235,1830
119,112,xix,703,119,616,33,373,150,286,2447
120,30,xix,188,120,192,10,102,59,127,801
121,2,xix,13,121,10,2,2,5,8,58
122,21,xix,162,122,148,13,80,39,77,565
123,64,xix,413,123,368,24,223,85,171,1495
124,6,xix,36,124,24,1,15,4,13,109
125,76,xix,480,125,436,35,265,105,192,1697
126,1,xix,30,126,18,1,11,5,16,95
127,29,xix,167,127,148,12,93,34,72,598
128,11,xix,50,128,44,1,23,14,23,187
129,2,xix,19,129,18,1,6,10,19,95
130,11,xix,55,130,54,2,25,16,27,206
131,4,xix,39,131,20,0,14,3,8,96
132,0,xix,7,132,4,0,3,0,1,28
133,103,xix,668,133,576,36,355,136,271,2313
134,69,xix,536,134,492,35,266,137,266,2025
135,20,xix,147,135,156,8,72,60,95,627
136,47,xix,310,136,296,23,174,70,144,1228
137,17,xix,115,137,104,6,65,21,46,422
138,0,xix,7,138,4,0,3,1,1,23
139,121,xix,780,139,716,45,393,175,335,2812
140,13,xix,42,140,42,6,19,9,18,179
141,4,xix,25,141,26,3,13,6,18,120
142,158,xix,970,142,950,64,483,284,559,3748
143,8,xix,24,143,12,0,7,2,10,98
144,12,xix,31,144,20,3,5,7,10,117
145,31,xix,97,145,60,6,24,16,49,390
146,48,xix,111,146,66,13,30,12,49,477
147,13,xix,65,147,44,2,22,13,41,371
148,28,xix,97,148,80,6,50,13,35,347
149,2,xix,17,149,12,0,6,4,6,53
150,7,xix,31,150,16,0,12,2,7,98
151,5,xix,27,151,12,1,7,3,7,72
152,15,xix,17,152,12,1,7,2,5,73
153,20,xix,47,153,16,0,11,2,16,137
